idx,name,population
1,"서울특별시 강남구 개포1동(1168066000)",1.1408171499745627
2,"서울특별시 강남구 개포2동(1168067000)",3.885058681122046
3,"서울특별시 강남구 개포4동(1168069000)",3.152816518428855
4,"서울특별시 강남구 논현1동(1168052100)",4.0083855235689345
5,"서울특별시 강남구 논현2동(1168053100)",3.7740118941108363
6,"서울특별시 강남구 대치1동(1168060000)",4.3581916741224145
7,"서울특별시 강남구 대치2동(1168061000)",6.630177359086364
8,"서울특별시 강남구 대치4동(1168063000)",3.5670052453379646
9,"서울특별시 강남구 도곡1동(1168065500)",3.851200813992246
10,"서울특별시 강남구 도곡2동(1168065600)",5.961089767205234
11,"서울특별시 강남구 삼성1동(1168058000)",2.3746118625335506
12,"서울특별시 강남구 삼성2동(1168059000)",5.258846025647773
13,"서울특별시 강남구 세곡동(1168070000)",7.793800326298616
14,"서울특별시 강남구 수서동(1168075000)",2.6642457414522043
15,"서울특별시 강남구 신사동(1168051000)",2.917565742153922
16,"서울특별시 강남구 압구정동(1168054500)",4.7688718137641875
17,"서울특별시 강남구 역삼1동(1168064000)",6.299493009139869
18,"서울특별시 강남구 역삼2동(1168065000)",6.476150378050278
19,"서울특별시 강남구 일원1동(1168073000)",2.7414346613336136
20,"서울특별시 강남구 일원2동(1168074000)",3.086679648439556
21,"서울특별시 강남구 일원본동(1168072000)",4.1741662719505985
22,"서울특별시 강남구 청담동(1168056500)",4.713436134940267
23,"서울특별시 강동구 강일동(1174051500)",5.61707278564286
24,"서울특별시 강동구 고덕제1동(1174055000)",4.569408627616091
25,"서울특별시 강동구 고덕제2동(1174056000)",3.7776959107415395
26,"서울특별시 강동구 길동(1174068500)",8.14220304194516
27,"서울특별시 강동구 둔촌제1동(1174069000)",0
28,"서울특별시 강동구 둔촌제2동(1174070000)",4.682034278897602
29,"서울특별시 강동구 명일제1동(1174053000)",4.600108766205287
30,"서울특별시 강동구 명일제2동(1174054000)",3.0126484570987495
31,"서울특별시 강동구 상일동(1174052000)",5.7482939494412575
32,"서울특별시 강동구 성내제1동(1174064000)",3.5156044418714805
33,"서울특별시 강동구 성내제2동(1174065000)",4.202936687542761
